station_code,entity,water_body,uf,latitude,longitude,parameters,first_year,last_year,years
GO8495IE4,SEMARH,RIO MEIA PONTE,GO,-18.477333,-49.614806,3,2001,2020,15
GO8496I11,SEMARH,Informação não disponível,GO,-15.928556,-48.628944,1,2020,2020,1
GO8496I13,SEMARH,RIO CORUMBÁ,GO,-18.318667,-48.561389,3,2013,2015,3
GO8496I15,SEMARH,RIO DO PEIXE,GO,-17.34409,-48.242851,1,2020,2020,1
GO8496I18,SEMARH,CORUMBA,GO,-15.91731,-48.80771,1,2020,2020,1
GO8496I19,SEMARH,Informação não disponível,GO,-16.010028,-48.628944,1,2020,2020,1
GO8496I21,SEMARH,Informação não disponível,GO,-17.987472,-48.995556,2,2012,2020,6
GO8496I25,SEMARH,Informação não disponível,GO,-16.5915,-48.537361,1,2020,2020,1
GO8496I26,SEMARH,CORUMBA,GO,-17.03915,-47.9434,1,2020,2020,1
GO8496I3,SEMARH,CORUMBA,GO,-17.71413,-48.4983,1,2020,2020,1
GO8496I32,SEMARH,ANTAS,GO,-16.29714,-49.80485,1,2020,2020,1
GO8496I33,SEMARH,CORUMBA,GO,-15.94062,-48.80547,1,2020,2020,1
GO8496I5,SEMARH,Informação não disponível,GO,-17.990417,-48.975389,1,2012,2016,3
GO8496I6,SEMARH,REPRESA ITUMBIARA,GO,-18.231111,-48.765556,3,2013,2020,3
GO8496I7,SEMARH,RIO QUENTE,GO,-17.507001,-48.379007,1,2020,2020,1
GO8496I8,SEMARH,Informação não disponível,GO,-17.121606,-48.141924,1,2020,2020,1
GO8499I23,SEMARH,RIO QUENTE,GO,-17.91534,-48.060372,1,2015,2015,1
GO8499I41,SEMARH,Informação não disponível,GO,-18.10525,-47.692333,3,2009,2015,4
QUEP04,SEMARH,Informação não disponível,GO,-17.779028,-48.784528,1,2011,2011,1
QUEP06,SEMARH,Rio Quente,GO,-17.774333,-48.753611,1,2011,2011,1
QUEP07,SEMARH,Rio Quente,GO,-17.77459,-48.755887,1,2011,2011,1
RQUEN01,SEMARH,SÃO MARCOS,GO,-17.774689,-48.747778,1,2011,2011,1
RQUEN02,SEMARH,URUCUIA,GO,-17.77261,-48.75633,1,2011,2011,1
RQUEN03,SEMARH,VERISSIMO,GO,-17.773444,-48.756472,1,2011,2011,1
,,,MG,-17.4,-46.54,1,2021,2021,1
,,,MG,-17.14,-46.82,1,2021,2021,1
BG008,IGAM,Ribeirão Caieiro,MG,-21.27531,-44.88417,6,1997,2021,24
BG009,IGAM,Rio Capivari,MG,-21.27531,-44.88417,1,2013,2020,7
BG017,IGAM,Rio das Mortes,MG,-21.14217,-44.74058,6,1997,2021,24
BG018,IGAM,Rio do Cervo,MG,-20.77,-44.82,5,2017,2021,4
BG019,IGAM,Rio Grande,MG,-21.17619,-45.12619,6,1997,2021,24
BG021,IGAM,Rio Jacaré,MG,-21.00369,-45.19792,6,1997,2021,24
BG023,IGAM,Rio Formiga,MG,-20.48678,-45.4405,6,1997,2021,24
BG024,IGAM,Rio Baependi,MG,-21.951,-44.88019,6,2008,2021,13
BG025,IGAM,Rio Verde (GD4),MG,-22.32669,-44.90539,6,1997,2021,24
BG026,IGAM,Rio Verde (GD4),MG,-21.94506,-45.09225,6,2008,2021,13
BG027,IGAM,Rio Verde (GD4),MG,-22.21422,-44.9755,6,1997,2021,24
BG028,IGAM,Rio Verde (GD4),MG,-22.06042,-45.04539,6,1997,2021,24
BG029,IGAM,Rio Baependi,MG,-21.86511,-45.05436,6,1997,2021,24
BG030,IGAM,Rio Lambari (GD4),MG,-22.21019,-45.26542,6,1997,2021,24
BG031,IGAM,Rio Lambari (GD4),MG,-21.76778,-45.21575,6,1997,2021,24
BG032,IGAM,Rio Verde (GD4),MG,-21.70319,-45.24758,6,1997,2021,24
BG033,IGAM,Rio do Peixe (GD4),MG,-21.67208,-45.33081,6,1997,2021,24
BG034,IGAM,Rio do Peixe (GD4),MG,-21.65539,-45.11531,6,2000,2021,21
BG035,IGAM,Rio Verde (GD4),MG,-21.64142,-45.36378,6,1997,2021,24
BG036,IGAM,Rio Palmela,MG,-21.62983,-45.39542,6,1997,2021,24
BG037,IGAM,Rio Verde (GD4),MG,-21.60642,-45.50844,6,1997,2021,24
BG038,IGAM,Rio Lambari (GD4),MG,-21.93389,-45.26217,6,2008,2021,13
BG039,IGAM,Rio Sapucaí,MG,-22.51597,-45.40219,6,1997,2021,24
BG040,IGAM,Ribeirão Vermelho,MG,-21.65758,-45.04461,6,2008,2021,13
BG041,IGAM,Rio Sapucaí,MG,-22.36058,-45.55242,6,1997,2021,24
BG042,IGAM,Ribeirão do Mandu,MG,-22.27264,-46.08503,6,2008,2021,13
BG043,IGAM,Rio Sapucaí,MG,-22.21181,-45.86733,6,1997,2021,24
BG044,IGAM,Rio Sapucaí-Mirim,MG,-22.29008,-45.89761,6,1997,2021,24
BG045,IGAM,Rio Sapucaí-Mirim,MG,-22.20644,-45.89611,6,1997,2021,24
BG046,IGAM,Rio do Cervo,MG,-22.15806,-47.09733,6,2008,2021,13
BG047,IGAM,Rio Sapucaí,MG,-22.0535,-45.69983,6,1997,2021,24
BG048,IGAM,Rio do Cervo,MG,-22.11661,-45.91725,6,2008,2021,13
