theme,title,publication_year,cited_by_count,source_display_name,source_url,doi,has_pdf,is_open_access,research_track
Jupia/Sucuriu,"Natural effects on remote sensing of water quality parameters data: a case study on available algorithms at the Jupia Reservoir, Brazil",2019,2,,https://doi.org/10.1117/12.2532327,https://doi.org/10.1117/12.2532327,False,False,n1_jupia_sucuriu_station_known_sources
Sedimentos e turbidez,Low‐Effort <scp>eDNA</scp> Sampling Reveals Fish Community Patterns in a Neotropical River Basin,2025,1,Environmental DNA,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/edn3.70164,https://doi.org/10.1002/edn3.70164,True,True,n3_sedimentos_turbidez_assoreamento_jupia
Comportamento da bacia,Assessing residual hydropower potential of the La Plata Basin accounting for future user demands,2012,1,,https://doi.org/10.5194/hessd-9-5635-2012,https://doi.org/10.5194/hessd-9-5635-2012,True,True,n1_geografia_bacia_jupia_ottobacias
Poluicao e qualidade da agua,"Chemical Fractionation of Phosphorus in Bottom Sediments from the Tietê-Pinheiros- Billings River System, São Paulo.",2009,1,,https://www.ige.unicamp.br/terrae/V6/PDF-N6/T-a5i.pdf,,False,False,n3_poluicao_saneamento_efluentes_outorgas
Poluicao e qualidade da agua,"Composição de rotífera em corpos d'água da bacia do rio Tietê São Paulo, Brasil",2003,1,"Portuguese National Funding Agency for Science, Research and Technology (RCAAP Project by FCT)",https://www.rcaap.pt/detail.jsp?id=oai:agregador.ibict.br.BDTD_UFSCAR:oai:ufscar.br:4,,False,True,n3_qualidade_agua_cetesb_ana_infoaguas
Comportamento da bacia,"Hydrological characterisation of the La Plata System : study of the watershed areas of Paraguay, Paraná and Uruguay",2025,0,theses.fr (ABES),http://www.theses.fr/2025TLSES028/document,,False,True,n1_geografia_bacia_jupia_ottobacias
Correlacao integrada,A crise no gerenciamento hídrico e sua consequência no funcionamento de hidrelétricas : um estudo sobre Ilha Solteira,2024,0,,https://bdta.abcd.usp.br/directbitstream/fd9db3d6-6ed1-469b-8d4c-9ea83b180484/2024_LilianeMatosCamargo_TGI.pdf,https://doi.org/10.11606/003228066,True,True,n4_literatura_contexto_integrado_jupia
Comportamento dos rios,RİO DE LA PLATA HAVZASI’NDA SÜRDÜRÜLEBİLİR SOSYO-EKONOMİK KALKINMAYI TEHDİT EDEN UNSURLAR,2022,0,DergiPark (Istanbul University),https://dergipark.org.tr/tr/pub/dumad/issue/74003/1144353,,True,True,n2_hidrologia_ana_hidroweb_parana_grande_paranaiba_tiete_sucuriu
Jupia/Sucuriu,"Reproductive metabolic aspects of the female freswater stingrays Potamotrygon amandae (Chondrichthyes: Myliobatiformes: Potamotrygonidae) from a non-natural occurrence area (JUPIA RESERVOIR, ILHA SOLTEIRA/ SP)",2021,0,Digital Library of Theses and Dissertations  (Universidade de São Paulo),https://doi.org/10.11606/D.41.2021.tde-13092021-185148,,False,False,n1_jupia_sucuriu_station_known_sources
Jupia/Sucuriu,Estimativa da perda de solo da Bacia Hidrográfica Córrego Santa Vera sobre Latossolo Vermelho Distrófico: Estimativa da perda de solo da Bacia Hidrográfica Córrego Santa Vera sobre Latossolo Vermelho Distrófico,2021,0,Geociencias,https://dialnet.unirioja.es/servlet/articulo?codigo=8079301,,False,False,n1_jupia_sucuriu_station_known_sources
Jupia/Sucuriu,"Natural effects on remote sensing of water quality parameters data: a case study on available algorithms at the Jupia Reservoir, Brazil",2019,0,"Proceedings of SPIE, the International Society for Optical Engineering/Proceedings of SPIE",https://jglobal.jst.go.jp/en/detail?JGLOBAL_ID=202002274788721977,,False,False,n1_jupia_sucuriu_station_known_sources
Sedimentos e turbidez,Diversidade e potencial do mobiloma presente ao longo da bacia do Rio Tietê.,2019,0,,http://www.teses.usp.br/teses/disponiveis/42/42132/tde-08122021-121000/publico/luiz_ricardo_olchanheski_doutorado_original_parcial.pdf,https://doi.org/10.11606/t.42.2019.tde-08122021-121000,True,True,n3_sedimentos_turbidez_assoreamento_jupia
Sedimentos e turbidez,Microbioma da bacia do rio Tietê: diversidade funcional e taxonômica.,2018,0,,http://www.teses.usp.br/teses/disponiveis/42/42132/tde-30012018-112622/publico/LinaRocioDelPilarRadaMartinez_Doutorado_P.pdf,https://doi.org/10.11606/t.42.2018.tde-30012018-112622,True,True,n3_sedimentos_turbidez_assoreamento_jupia
Jupia/Sucuriu,AVALIAÇÃO OPERACIONAL DO CONTROLE MECÂNICO DE PLANTAS AQUÁTICAS IMERSAS NO RESERVATÓRIO DE JUPIÁ 1 Operational Evaluation of Mechanical Control of Aquatic Macrophytes Submerged in the Jupia Reservoir,2005,0,,http://repositorio.unesp.br/bitstream/11449/5090/1/S0100-83582005000200015.pdf,,False,False,n1_jupia_sucuriu_station_known_sources
Jupia/Sucuriu,FINANCIAL COMPARISONS OF THE ARTISANAL FISHERIES IN URUBUPUNGA COMPLEX IN THE MIDDLE PARANA RIVER (BRAZIL),2004,0,,https://openalex.org/W3150110110,,False,False,n1_jupia_sucuriu_station_known_sources
Sedimentos e turbidez,"Distribuição vertical e fracionamento químico de fósforo em sedimentos do Rio Tiete (região de Pirapora do Bom Jesus, São Paulo)",1996,0,,http://www.teses.usp.br/teses/disponiveis/44/44134/tde-15102015-092145/publico/Silva_Mestrado.pdf,https://doi.org/10.11606/d.44.1996.tde-15102015-092145,True,True,n3_sedimentos_turbidez_assoreamento_jupia
